Date,U.S. Crude Oil Composite Acquisition Cost by Refiners (Dollars per Barrel)
Jan-1986,25.63
Feb-1986,19.76
Mar-1986,14.8
Apr-1986,13.05
May-1986,13.05
Jun-1986,12.83
Jul-1986,11.26
Aug-1986,11.93
Sep-1986,13.13
Oct-1986,13.05
Nov-1986,13.3
Dec-1986,13.84
Jan-1987,16.16
Feb-1987,16.83
Mar-1987,17.04
Apr-1987,17.44
May-1987,17.85
Jun-1987,18.47
Jul-1987,19.13
Aug-1987,19.36
Sep-1987,18.57
Oct-1987,18.43
Nov-1987,18.02
Dec-1987,17.09
Jan-1988,15.68
Feb-1988,15.53
Mar-1988,14.84
Apr-1988,15.77
May-1988,16.18
Jun-1988,15.65
Jul-1988,14.71
Aug-1988,14.34
Sep-1988,13.91
Oct-1988,12.96
Nov-1988,12.63
Dec-1988,13.98
Jan-1989,15.73
Feb-1989,16.32
Mar-1989,17.52
Apr-1989,19.22
May-1989,19.03
Jun-1989,18.43
Jul-1989,18.18
Aug-1989,17.23
Sep-1989,17.66
Oct-1989,18.24
Nov-1989,18.39
Dec-1989,19.54
Jan-1990,20.64
Feb-1990,20.31
Mar-1990,19.14
Apr-1990,17.05
May-1990,16.27
Jun-1990,15.11
Jul-1990,16.19
Aug-1990,23.55
Sep-1990,30.03
Oct-1990,33.14
Nov-1990,30.52
Dec-1990,26.09
Jan-1991,22.85
Feb-1991,19.03
Mar-1991,17.89
Apr-1991,18.46
May-1991,18.7
Jun-1991,17.98
Jul-1991,18.57
Aug-1991,18.92
Sep-1991,19.17
Oct-1991,20.16
Nov-1991,19.72
Dec-1991,17.56
Jan-1992,16.5
Feb-1992,16.3
Mar-1992,16.56
Apr-1992,17.66
May-1992,18.83
Jun-1992,19.99
Jul-1992,20.1
Aug-1992,19.56
Sep-1992,19.59
Oct-1992,19.49
Nov-1992,18.66
Dec-1992,17.43
Jan-1993,17.11
Feb-1993,17.64
Mar-1993,18.08
Apr-1993,18.42
May-1993,18.16
Jun-1993,17.26
Jul-1993,16.1
Aug-1993,15.83
Sep-1993,15.59
Oct-1993,15.81
Nov-1993,14.51
Dec-1993,12.51
Jan-1994,12.83
Feb-1994,13.07
Mar-1994,13.16
Apr-1994,14.64
May-1994,15.8
Jun-1994,17.21
Jul-1994,17.62
Aug-1994,16.92
Sep-1994,16.18
Oct-1994,16.31
Nov-1994,16.54
Dec-1994,16.03
Jan-1995,16.54
Feb-1995,17.18
Mar-1995,17.26
Apr-1995,18.43
May-1995,18.62
Jun-1995,17.69
Jul-1995,16.68
Aug-1995,16.75
Sep-1995,16.91
Oct-1995,16.55
Nov-1995,16.62
Dec-1995,17.54
Jan-1996,17.74
Feb-1996,17.95
Mar-1996,19.76
Apr-1996,21.63
May-1996,20.61
Jun-1996,19.31
Jul-1996,19.76
Aug-1996,20.54
Sep-1996,21.96
Oct-1996,23.08
Nov-1996,22.87
Dec-1996,23.3
Jan-1997,23.59
Feb-1997,21.64
Mar-1997,19.82
Apr-1997,18.35
May-1997,18.79
Jun-1997,17.8
Jul-1997,17.84
Aug-1997,18.19
Sep-1997,18.14
Oct-1997,19.17
Nov-1997,18.52
Dec-1997,16.91
