"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"11.05.2012","96.13","96.53","97.20","95.56","260.54K","-0.98%"
"10.05.2012","97.08","96.45","97.69","96.08","282.31K","0.28%"
"09.05.2012","96.81","97.38","97.39","95.17","332.87K","-0.21%"
"08.05.2012","97.01","97.96","98.12","95.52","333.77K","-0.95%"
"07.05.2012","97.94","98.05","98.24","95.34","300.47K","-0.56%"
"04.05.2012","98.49","102.59","102.72","97.51","443.06K","-3.95%"
"03.05.2012","102.54","105.39","105.42","102.36","316.88K","-2.55%"
"02.05.2012","105.22","105.98","106.05","104.91","256.65K","-0.89%"
"01.05.2012","106.16","104.89","106.43","104.39","245.92K","1.23%"
"30.04.2012","104.87","104.93","105.16","103.88","211.45K","-0.06%"
"27.04.2012","104.93","104.10","105.00","103.74","182.10K","0.36%"
"26.04.2012","104.55","103.96","104.92","103.84","192.83K","0.41%"
"25.04.2012","104.12","103.76","104.57","103.11","276.65K","0.55%"
"24.04.2012","103.55","103.11","104.10","102.79","196.14K","0.43%"
"23.04.2012","103.11","103.82","103.90","101.82","213.20K","0.06%"
"20.04.2012","103.05","102.57","104.27","102.45","23.58K","0.76%"
"19.04.2012","102.27","102.73","103.21","101.67","91.40K","-0.39%"
"18.04.2012","102.67","104.22","104.51","102.19","195.81K","-1.47%"
"17.04.2012","104.20","103.15","105.07","102.66","244.52K","1.23%"
"16.04.2012","102.93","102.80","103.37","101.80","284.96K","0.10%"
"13.04.2012","102.83","103.66","103.90","102.61","227.26K","-0.78%"
"12.04.2012","103.64","102.55","104.24","102.39","271.29K","0.92%"
"11.04.2012","102.70","100.94","103.13","100.84","283.01K","1.66%"
"10.04.2012","101.02","102.33","102.96","100.68","312.93K","-1.41%"
"09.04.2012","102.46","102.53","102.60","100.81","205.92K","-0.82%"
"05.04.2012","103.31","101.96","103.40","101.37","242.90K","1.81%"
"04.04.2012","101.47","104.09","104.12","101.08","300.73K","-2.44%"
"03.04.2012","104.01","105.04","105.18","103.59","245.54K","-1.16%"
"02.04.2012","105.23","103.27","105.49","102.06","278.10K","2.15%"
"30.03.2012","103.02","103.29","104.15","102.78","244.16K","0.23%"
"29.03.2012","102.78","105.58","105.70","102.13","319.99K","-2.50%"
"28.03.2012","105.41","106.81","106.94","104.67","309.06K","-1.79%"
"27.03.2012","107.33","107.09","107.73","106.52","209.04K","0.28%"
"26.03.2012","107.03","106.79","107.32","106.19","162.28K","0.15%"
"23.03.2012","106.87","105.52","108.25","105.16","260.27K","1.44%"
"22.03.2012","105.35","106.81","107.12","104.50","295.47K","-1.79%"
"21.03.2012","107.27","106.33","107.64","106.06","252.60K","1.57%"
"20.03.2012","105.61","107.82","107.91","105.35","26.44K","-2.29%"
"19.03.2012","108.09","107.18","108.24","106.55","110.35K","0.96%"
"16.03.2012","107.06","105.44","107.34","105.13","192.99K","1.86%"
"15.03.2012","105.11","105.50","106.18","103.78","371.04K","-0.30%"
"14.03.2012","105.43","106.69","107.02","105.12","283.51K","-1.20%"
"13.03.2012","106.71","106.55","107.35","105.67","282.35K","0.35%"
"12.03.2012","106.34","107.50","107.56","105.38","234.73K","-0.99%"
"09.03.2012","107.40","106.91","108.20","106.13","292.69K","0.77%"
"08.03.2012","106.58","106.24","107.20","105.84","296.55K","0.40%"
"07.03.2012","106.16","104.93","106.55","104.35","333.24K","1.39%"
"06.03.2012","104.70","107.11","107.34","104.51","332.56K","-1.89%"
"05.03.2012","106.72","106.75","107.42","105.50","237.45K","0.02%"
"02.03.2012","106.70","108.75","109.03","105.80","299.66K","-1.97%"
"01.03.2012","108.84","106.82","110.55","106.55","389.84K","1.65%"
"29.02.2012","107.07","106.46","107.43","104.84","353.13K","0.49%"
"28.02.2012","106.55","107.95","108.79","106.30","278.72K","-1.85%"
"27.02.2012","108.56","109.67","109.77","107.27","277.60K","-1.10%"
"24.02.2012","109.77","108.66","109.95","107.95","267.71K","1.80%"
"23.02.2012","107.83","105.95","108.74","105.45","325.66K","1.46%"
"22.02.2012","106.28","106.01","106.72","105.61","241.33K","0.42%"
"21.02.2012","105.84","104.65","106.07","104.26","32.98K","2.52%"
"17.02.2012","103.24","102.35","104.14","102.25","134.50K","0.91%"
"16.02.2012","102.31","101.90","102.69","100.84","197.31K","0.50%"
"15.02.2012","101.80","100.90","102.54","100.61","278.27K","1.05%"
"14.02.2012","100.74","100.73","101.84","100.28","314.29K","-0.17%"
"13.02.2012","100.91","99.33","100.87","99.09","268.06K","2.27%"
