"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"May 2020","25.62","19.56","26.73","18.05","212.34K","30.98%"
"Abr 2020","19.56","20.30","29.12","6.55","6.30M","-4.49%"
"Mar 2020","20.48","43.70","48.66","19.27","16.68M","-54.24%"
"Feb 2020","44.76","51.01","54.50","43.85","13.33M","-13.19%"
"Ene 2020","51.56","61.60","65.65","50.97","12.54M","-15.56%"
"Dic 2019","61.06","55.47","62.34","55.35","9.27M","10.68%"
"Nov 2019","55.17","54.15","58.74","54.07","9.47M","1.83%"
"Oct 2019","54.18","54.28","56.92","50.99","11.55M","0.20%"
"Sep 2019","54.07","55.00","63.38","52.84","13.08M","-1.87%"
"Ago 2019","55.10","57.85","57.99","50.52","14.04M","-5.94%"
"Jul 2019","58.58","59.27","60.94","54.72","11.80M","0.19%"
"Jun 2019","58.47","53.42","59.93","50.60","12.46M","9.29%"
"May 2019","53.50","63.40","63.93","53.05","16.25M","-16.29%"
"Abr 2019","63.91","60.24","66.60","60.13","13.33M","6.27%"
"Mar 2019","60.14","57.22","60.73","54.52","11.96M","5.10%"
"Feb 2019","57.22","54.01","57.81","51.23","10.55M","6.38%"
"Ene 2019","53.79","45.80","55.37","44.35","14.02M","18.45%"
"Dic 2018","45.41","52.45","54.55","42.36","12.16M","-10.84%"
"Nov 2018","50.93","64.88","65.39","49.41","15.12M","-22.02%"
"Oct 2018","65.31","73.29","76.90","64.81","13.04M","-10.84%"
"Sep 2018","73.25","69.89","73.73","66.86","10.09M","4.94%"
"Ago 2018","69.80","68.43","70.50","64.43","10.42M","1.51%"
"Jul 2018","68.76","73.62","75.27","67.03","10.91M","-7.27%"
"Jun 2018","74.15","67.07","74.46","63.59","12.86M","10.61%"
"May 2018","67.04","68.56","72.83","65.80","15.04M","-2.23%"
"Abr 2018","68.57","64.91","69.56","61.81","12.71M","5.59%"
"Mar 2018","64.94","61.55","66.55","59.95","12.38M","5.35%"
"Feb 2018","61.64","64.76","66.30","58.07","11.99M","-4.77%"
"Ene 2018","64.73","60.20","66.66","60.10","12.77M","7.13%"
"Dic 2017","60.42","57.42","60.51","55.82","9.49M","5.26%"
"Nov 2017","57.40","54.65","59.05","53.89","12.53M","5.55%"
"Oct 2017","54.38","51.64","54.85","49.10","11.95M","5.24%"
"Sep 2017","51.67","47.08","52.86","46.56","12.24M","9.40%"
"Ago 2017","47.23","50.21","50.43","45.58","17.17M","-5.86%"
"Jul 2017","50.17","46.28","50.41","43.65","14.57M","8.97%"
"Jun 2017","46.04","48.63","49.17","42.05","15.23M","-4.72%"
"May 2017","48.32","49.17","52.00","43.76","14.25M","-2.05%"
"Abr 2017","49.33","50.69","53.76","48.20","9.72M","-2.51%"
"Mar 2017","50.60","53.95","54.44","47.01","12.60M","-6.31%"
"Feb 2017","54.01","52.76","54.94","51.22","9.09M","2.27%"
"Ene 2017","52.81","54.20","55.24","50.71","10.11M","-1.69%"
"Dic 2016","53.72","49.07","54.51","48.98","10.64M","8.66%"
"Nov 2016","49.44","46.77","49.90","42.20","13.50M","5.51%"
"Oct 2016","46.86","48.04","51.93","46.63","10.82M","-2.86%"
"Sep 2016","48.24","44.85","48.32","42.55","12.37M","7.92%"
"Ago 2016","44.70","41.35","48.75","39.19","11.59M","7.45%"
"Jul 2016","41.60","48.38","49.35","40.57","9.34M","-13.93%"
"Jun 2016","48.33","48.82","51.67","45.83","10.42M","-1.57%"
"May 2016","49.10","45.90","50.21","43.03","11.20M","6.93%"
"Abr 2016","45.92","38.14","46.78","35.24","11.62M","19.77%"
"Mar 2016","38.34","33.90","41.90","33.37","10.88M","13.60%"
"Feb 2016","33.75","33.83","34.69","26.05","11.47M","0.39%"
"Ene 2016","33.62","37.60","38.39","26.19","10.39M","-9.23%"
"Dic 2015","37.04","41.73","42.23","33.98","8.70M","-11.07%"
"Nov 2015","41.65","46.43","48.36","38.99","7.88M","-10.60%"
"Oct 2015","46.59","45.38","50.92","42.58","8.31M","3.33%"
"Sep 2015","45.09","48.10","48.87","43.21","7.97M","-8.35%"
"Ago 2015","49.20","46.86","49.33","37.75","8.24M","4.41%"
"Jul 2015","47.12","58.98","58.98","46.68","7.17M","-20.77%"
"Jun 2015","59.47","60.29","61.82","56.83","6.54M","-1.38%"
"May 2015","60.30","59.79","62.58","56.51","6.34M","1.12%"
"Abr 2015","59.63","47.55","59.85","47.05","7.63M","25.27%"
"Mar 2015","47.60","49.45","52.48","42.03","7.69M","-4.34%"
"Feb 2015","49.76","47.59","54.24","46.67","8.46M","3.15%"
"Ene 2015","48.24","53.76","55.11","43.58","7.31M","-9.44%"
"Dic 2014","53.27","66.00","69.54","52.44","6.56M","-19.47%"
"Nov 2014","66.15","80.59","80.98","65.69","5.85M","-17.87%"
"Oct 2014","80.54","91.36","92.96","79.44","7.17M","-11.65%"
"Sep 2014","91.16","95.81","95.91","90.43","5.56M","-5.00%"
"Ago 2014","95.96","97.70","98.67","92.50","4.59M","-2.25%"
"Jul 2014","98.17","105.44","106.09","97.60","5.14M","-6.83%"
"Jun 2014","105.37","102.92","107.73","101.60","4.12M","2.59%"
"May 2014","102.71","99.72","104.50","98.74","4.38M","2.98%"
"Abr 2014","99.74","101.53","104.99","98.86","4.71M","-1.81%"
"Mar 2014","101.58","103.00","105.22","97.37","4.59M","-0.98%"
"Feb 2014","102.59","97.40","103.80","96.26","3.93M","5.23%"
"Ene 2014","97.49","98.50","98.97","91.24","4.49M","-0.94%"
"Dic 2013","98.42","92.71","100.75","92.56","3.66M","6.15%"
"Nov 2013","92.72","96.32","96.65","91.77","4.51M","-3.80%"
"Oct 2013","96.38","102.31","104.38","95.95","5.14M","-5.81%"
"Sep 2013","102.33","107.07","110.70","101.05","4.58M","-4.94%"
"Ago 2013","107.65","105.26","112.24","102.22","5.30M","2.49%"
"Jul 2013","105.03","96.58","109.32","96.07","5.38M","8.77%"
"Jun 2013","96.56","91.73","99.01","91.26","4.92M","4.99%"
"May 2013","91.97","93.08","97.17","90.11","5.87M","-1.59%"
"Abr 2013","93.46","97.36","97.80","85.61","5.43M","-3.88%"
"Mar 2013","97.23","91.76","97.35","89.33","4.03M","5.63%"
"Feb 2013","92.05","97.42","98.15","91.57","4.12M","-5.58%"
"Ene 2013","97.49","91.78","98.24","91.52","4.38M","6.18%"
"Dic 2012","91.82","88.85","91.99","85.21","3.59M","3.27%"
"Nov 2012","88.91","86.10","89.80","84.05","5.17M","3.10%"
"Oct 2012","86.24","92.15","93.66","84.66","5.24M","-6.45%"
"Sep 2012","92.19","96.38","100.42","88.95","4.34M","-4.44%"
"Ago 2012","96.47","88.03","98.29","86.92","5.08M","9.55%"
"Jul 2012","88.06","84.65","92.94","82.10","5.27M","3.65%"
"Jun 2012","84.96","86.44","87.03","77.28","5.95M","-1.81%"
"May 2012","86.53","104.89","106.43","85.86","5.81M","-17.49%"
"Abr 2012","104.87","103.27","105.49","100.68","4.48M","1.80%"
"Mar 2012","103.02","106.82","110.55","102.13","5.74M","-3.78%"
"Feb 2012","107.07","98.38","109.95","95.44","5.54M","8.72%"
"Ene 2012","98.48","99.70","103.74","97.40","5.41M","-0.35%"
"Dic 2011","98.83","100.51","102.44","92.52","4.70M","-1.52%"
"Nov 2011","100.36","92.58","103.37","89.17","6.24M","7.69%"
"Oct 2011","93.19","78.92","94.65","74.95","6.57M","17.66%"
"Sep 2011","79.20","88.73","90.52","77.11","6.45M","-10.82%"
"Ago 2011","88.81","96.20","98.60","75.71","8.28M","-7.20%"
"Jul 2011","95.70","95.12","100.62","93.45","5.45M","0.29%"
"Jun 2011","95.42","102.68","103.31","89.61","7.33M","-7.09%"
"May 2011","102.70","113.89","114.83","94.63","7.60M","-9.86%"
"Abr 2011","113.93","106.62","114.18","105.31","5.62M","6.76%"
"Mar 2011","106.72","96.97","106.95","96.22","6.87M","10.05%"
"Feb 2011","96.97","92.20","103.41","83.85","6.10M","5.18%"
"Ene 2011","92.19","91.31","92.84","85.11","6.93M","0.89%"
"Dic 2010","91.38","83.66","92.06","83.63","5.43M","8.64%"
"Nov 2010","84.11","81.45","88.63","80.06","6.76M","3.29%"
"Oct 2010","81.43","79.84","84.43","79.25","6.45M","1.83%"
"Sep 2010","79.97","71.70","80.18","71.67","6.82M","11.19%"
"Ago 2010","71.92","78.95","82.97","70.76","6.81M","-8.90%"
"Jul 2010","78.95","75.37","79.69","71.09","6.21M","4.39%"
"Jun 2010","75.63","73.97","79.38","69.51","7.26M","2.24%"
"May 2010","73.97","86.20","87.15","64.24","7.89M","-14.14%"
"Abr 2010","86.15","83.36","87.09","80.53","7.25M","2.85%"
"Mar 2010","83.76","79.84","83.85","78.06","6.52M","5.15%"
"Feb 2010","79.66","72.84","80.51","69.50","6.57M","9.29%"
"Ene 2010","72.89","79.63","83.95","72.43","5.38M","-8.15%"
"Dic 2009","79.36","77.35","80.00","68.59","5.66M","2.69%"
"Nov 2009","77.28","77.02","81.06","72.39","6.45M","0.36%"
"Oct 2009","77.00","70.40","82.00","68.05","6.92M","9.05%"
"Sep 2009","70.61","69.85","73.16","65.05","5.75M","0.93%"
"Ago 2009","69.96","69.30","75.00","65.23","5.72M","0.73%"
"Jul 2009","69.45","70.45","71.85","58.32","5.91M","-0.63%"
"Jun 2009","69.89","66.48","73.38","64.95","5.60M","5.40%"
"May 2009","66.31","50.95","66.64","50.43","5.04M","29.71%"
"Abr 2009","51.12","48.96","53.90","43.83","4.69M","2.94%"
"Mar 2009","49.66","44.34","54.66","39.44","5.17M","10.95%"
"Feb 2009","44.76","41.75","45.30","33.55","4.86M","7.39%"
"Ene 2009","41.68","43.72","50.47","32.70","5.13M","-6.55%"
"Dic 2008","44.60","54.62","54.62","32.40","4.47M","-18.06%"
"Nov 2008","54.43","67.37","71.77","48.25","4.52M","-19.73%"
"Oct 2008","67.81","101.86","102.84","61.30","5.69M","-32.62%"
"Sep 2008","100.64","116.65","130.00","90.51","5.66M","-12.84%"
"Ago 2008","115.46","124.06","128.60","111.34","5.46M","-6.95%"
"Jul 2008","124.08","140.18","147.27","120.42","5.83M","-11.37%"
"Jun 2008","140.00","127.63","143.67","121.61","6.23M","9.93%"
