"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"19.05.2020","32.50","32.83","33.44","31.34","36.07K","2.14%"
"18.05.2020","31.82","29.53","33.32","29.53","89.38K","8.12%"
"15.05.2020","29.43","27.64","29.92","27.24","108.02K","6.79%"
"14.05.2020","27.56","25.56","27.96","25.18","160.51K","8.98%"
"13.05.2020","25.29","25.30","26.45","24.79","150.86K","-1.90%"
"12.05.2020","25.78","24.49","26.23","24.22","212.34K","6.79%"
"11.05.2020","24.14","24.49","25.58","23.67","179.59K","-2.43%"
"08.05.2020","24.74","23.35","24.99","23.26","205.18K","5.05%"
"07.05.2020","23.55","24.09","26.74","22.94","310.26K","-1.83%"
"06.05.2020","23.99","25.52","26.08","22.58","381.17K","-2.32%"
"05.05.2020","24.56","21.24","25.49","21.13","387.24K","20.45%"
"04.05.2020","20.39","19.11","21.42","18.05","311.49K","3.08%"
"01.05.2020","19.78","19.04","20.48","18.07","403.20K","4.99%"
"30.04.2020","18.84","15.64","19.44","15.45","545.34K","25.10%"
"29.04.2020","15.06","13.35","16.78","12.67","554.13K","22.04%"
"28.04.2020","12.34","12.96","13.69","10.07","897.09K","-3.44%"
"27.04.2020","12.78","16.84","16.98","11.88","623.20K","-24.56%"
"24.04.2020","16.94","16.78","17.97","15.64","600.22K","2.67%"
"23.04.2020","16.50","14.20","18.26","13.35","833.58K","19.74%"
"22.04.2020","13.78","13.12","16.18","10.26","1.24M","37.66%"
"21.04.2020","10.01","-14.00","13.86","-16.74","18.44K","-126.60%"
"20.04.2020","-37.63","17.73","17.85","-40.32","247.95K","-305.97%"
"17.04.2020","18.27","20.00","20.22","17.31","240.63K","-8.05%"
"16.04.2020","19.87","20.15","20.53","19.42","350.94K","0.00%"
"15.04.2020","19.87","20.72","20.89","19.20","544.80K","-1.19%"
"14.04.2020","20.11","22.36","23.08","19.95","785.48K","-10.26%"
"13.04.2020","22.41","24.60","24.74","22.03","775.12K","-1.54%"
"09.04.2020","22.76","26.28","28.36","22.57","1.12M","-9.29%"
"08.04.2020","25.09","24.30","26.45","23.74","823.55K","6.18%"
"07.04.2020","23.63","26.34","27.24","23.54","797.71K","-9.39%"
"06.04.2020","26.08","26.09","28.24","25.28","752.71K","-7.97%"
"03.04.2020","28.34","24.81","29.13","23.52","1.01M","11.93%"
"02.04.2020","25.32","21.22","27.39","20.76","1.10M","24.67%"
"01.04.2020","20.31","20.10","21.55","19.90","703.29K","-0.83%"
