Date,(Dollars per Barrel)
Jan-1986,22.93
Feb-1986,15.46
Mar-1986,12.61
Apr-1986,12.84
May-1986,15.38
Jun-1986,13.43
Jul-1986,11.59
Aug-1986,15.1
Sep-1986,14.87
Oct-1986,14.9
Nov-1986,15.22
Dec-1986,16.11
Jan-1987,18.65
Feb-1987,17.75
Mar-1987,18.3
Apr-1987,18.68
May-1987,19.44
Jun-1987,20.07
Jul-1987,21.34
Aug-1987,20.31
Sep-1987,19.53
Oct-1987,19.86
Nov-1987,18.85
Dec-1987,17.28
Jan-1988,17.13
Feb-1988,16.8
Mar-1988,16.2
Apr-1988,17.86
May-1988,17.42
Jun-1988,16.53
Jul-1988,15.5
Aug-1988,15.52
Sep-1988,14.54
Oct-1988,13.77
Nov-1988,14.14
Dec-1988,16.38
Jan-1989,18.02
Feb-1989,17.94
Mar-1989,19.48
Apr-1989,21.07
May-1989,20.12
Jun-1989,20.05
Jul-1989,19.78
Aug-1989,18.58
Sep-1989,19.59
Oct-1989,20.1
Nov-1989,19.86
Dec-1989,21.1
Jan-1990,22.86
Feb-1990,22.11
Mar-1990,20.39
Apr-1990,18.43
May-1990,18.2
Jun-1990,16.7
Jul-1990,18.45
Aug-1990,27.31
Sep-1990,33.51
Oct-1990,36.04
Nov-1990,32.33
Dec-1990,27.28
Jan-1991,25.23
Feb-1991,20.48
Mar-1991,19.9
Apr-1991,20.83
May-1991,21.23
Jun-1991,20.19
Jul-1991,21.4
Aug-1991,21.69
Sep-1991,21.89
Oct-1991,23.23
Nov-1991,22.46
Dec-1991,19.5
Jan-1992,18.79
Feb-1992,19.01
Mar-1992,18.92
Apr-1992,20.23
May-1992,20.98
Jun-1992,22.39
Jul-1992,21.78
Aug-1992,21.34
Sep-1992,21.88
Oct-1992,21.69
Nov-1992,20.34
Dec-1992,19.41
Jan-1993,19.03
Feb-1993,20.09
Mar-1993,20.32
Apr-1993,20.25
May-1993,19.95
Jun-1993,19.09
Jul-1993,17.89
Aug-1993,18.01
Sep-1993,17.5
Oct-1993,18.15
Nov-1993,16.61
Dec-1993,14.52
Jan-1994,15.03
Feb-1994,14.78
Mar-1994,14.68
Apr-1994,16.42
May-1994,17.89
Jun-1994,19.06
Jul-1994,19.66
Aug-1994,18.38
Sep-1994,17.45
Oct-1994,17.72
Nov-1994,18.07
Dec-1994,17.16
Jan-1995,18.04
Feb-1995,18.57
Mar-1995,18.54
Apr-1995,19.9
May-1995,19.74
Jun-1995,18.45
Jul-1995,17.33
Aug-1995,18.02
Sep-1995,18.23
Oct-1995,17.43
Nov-1995,17.99
Dec-1995,19.03
Jan-1996,18.86
Feb-1996,19.09
Mar-1996,21.33
Apr-1996,23.5
May-1996,21.17
Jun-1996,20.42
Jul-1996,21.3
Aug-1996,21.9
Sep-1996,23.97
Oct-1996,24.88
Nov-1996,23.71
Dec-1996,25.23
Jan-1997,25.13
Feb-1997,22.18
Mar-1997,20.97
Apr-1997,19.7
May-1997,20.82
Jun-1997,19.26
Jul-1997,19.66
Aug-1997,19.95
Sep-1997,19.8
Oct-1997,21.33
Nov-1997,20.19
Dec-1997,18.33
Jan-1998,16.72
Feb-1998,16.06
Mar-1998,15.12
Apr-1998,15.35
May-1998,14.91
Jun-1998,13.72
Jul-1998,14.17
Aug-1998,13.47
Sep-1998,15.03
Oct-1998,14.46
Nov-1998,13
Dec-1998,11.35
Jan-1999,12.52
Feb-1999,12.01
Mar-1999,14.68
Apr-1999,17.31
May-1999,17.72
Jun-1999,17.92
Jul-1999,20.1
Aug-1999,21.28
Sep-1999,23.8
Oct-1999,22.69
Nov-1999,25
Dec-1999,26.1
Jan-2000,27.26
Feb-2000,29.37
Mar-2000,29.84
Apr-2000,25.72
May-2000,28.79
Jun-2000,31.82
Jul-2000,29.7
Aug-2000,31.26
Sep-2000,33.88
Oct-2000,33.11
Nov-2000,34.42
Dec-2000,28.44
Jan-2001,29.59
Feb-2001,29.61
Mar-2001,27.25
Apr-2001,27.49
May-2001,28.63
Jun-2001,27.6
Jul-2001,26.43
Aug-2001,27.37
Sep-2001,26.2
Oct-2001,22.17
Nov-2001,19.64
Dec-2001,19.39
Jan-2002,19.72
Feb-2002,20.72
Mar-2002,24.53
Apr-2002,26.18
May-2002,27.04
Jun-2002,25.52
Jul-2002,26.97
Aug-2002,28.39
Sep-2002,29.66
Oct-2002,28.84
Nov-2002,26.35
Dec-2002,29.46
Jan-2003,32.95
Feb-2003,35.83
Mar-2003,33.51
Apr-2003,28.17
May-2003,28.11
Jun-2003,30.66
Jul-2003,30.76
Aug-2003,31.57
Sep-2003,28.31
Oct-2003,30.34
Nov-2003,31.11
Dec-2003,32.13
