"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"31.03.2020","6,991.83","7,105.27","7,143.10","6,955.23","-","-1.60%"
"30.03.2020","7,105.45","6,879.51","7,117.99","6,879.51","-","3.29%"
"27.03.2020","6,879.03","7,116.26","7,116.26","6,819.85","-","-3.34%"
"26.03.2020","7,116.39","6,698.26","7,131.66","6,698.26","-","6.24%"
"25.03.2020","6,698.29","6,615.55","6,956.87","6,518.58","-","1.25%"
"24.03.2020","6,615.57","6,343.48","6,620.41","6,343.48","-","9.41%"
"23.03.2020","6,046.81","6,157.76","6,210.83","5,920.42","-","-2.87%"
"20.03.2020","6,225.55","6,548.32","6,625.90","6,203.43","-","-4.25%"
"19.03.2020","6,502.10","6,436.02","6,652.15","6,248.77","-","0.72%"
"18.03.2020","6,455.88","6,569.18","6,608.85","6,139.01","-","-5.31%"
"17.03.2020","6,817.64","6,537.04","6,885.09","6,382.83","-","5.90%"
"16.03.2020","6,438.04","7,230.94","7,230.94","6,424.98","-","-12.12%"
"13.03.2020","7,325.85","6,922.63","7,325.95","6,738.16","-","9.12%"
"12.03.2020","6,713.31","7,150.69","7,191.30","6,710.30","-","-9.50%"
"11.03.2020","7,418.32","7,642.69","7,642.69","7,326.61","-","-4.93%"
"10.03.2020","7,802.93","7,599.41","7,802.93","7,404.78","-","4.89%"
"09.03.2020","7,439.32","7,831.92","7,831.92","7,409.78","-","-7.68%"
"06.03.2020","8,057.89","8,044.82","8,091.77","7,866.76","-","-1.75%"
"05.03.2020","8,201.08","8,342.04","8,358.65","8,137.08","-","-3.34%"
"04.03.2020","8,484.35","8,236.39","8,485.75","8,231.22","-","4.16%"
"03.03.2020","8,145.25","8,380.03","8,498.44","8,073.91","-","-2.75%"
"02.03.2020","8,375.66","8,064.34","8,377.21","7,989.74","-","4.54%"
"28.02.2020","8,011.77","7,917.27","8,024.05","7,744.60","-","-0.82%"
"27.02.2020","8,078.10","8,326.33","8,396.91","8,074.75","-","-4.40%"
"26.02.2020","8,450.15","8,515.32","8,629.30","8,432.94","-","-0.43%"
"25.02.2020","8,486.23","8,793.59","8,806.39","8,461.99","-","-3.05%"
"24.02.2020","8,753.04","8,866.55","8,866.55","8,722.40","-","-3.34%"
"21.02.2020","9,055.35","9,121.05","9,121.20","9,030.48","-","-1.06%"
"20.02.2020","9,152.51","9,169.28","9,194.54","9,068.79","-","-0.34%"
"19.02.2020","9,184.11","9,168.97","9,204.14","9,167.44","-","0.50%"
"18.02.2020","9,138.56","9,129.01","9,150.31","9,098.72","-","-0.26%"
"17.02.2020","9,162.21","9,162.21","9,162.21","9,162.21","-","0.00%"
"14.02.2020","9,162.21","9,154.45","9,163.40","9,126.31","-","0.22%"
"13.02.2020","9,142.44","9,110.55","9,171.17","9,103.86","-","-0.10%"
"12.02.2020","9,151.32","9,126.03","9,156.25","9,124.74","-","0.65%"
"11.02.2020","9,092.36","9,106.86","9,138.56","9,079.86","-","0.21%"
"10.02.2020","9,073.11","8,986.33","9,073.18","8,986.33","-","0.75%"
"07.02.2020","9,005.72","9,025.37","9,042.13","8,990.56","-","-0.53%"
"06.02.2020","9,053.25","9,047.73","9,060.11","9,023.26","-","0.34%"
"05.02.2020","9,022.63","9,004.44","9,030.32","8,970.44","-","0.98%"
